,tconst,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
33805,tt0034415,Ziegfeld Girl,Ziegfeld Girl,0,1941,1941,132,"Drama,Musical,Romance",6.7,3248.0
33814,tt0034424,A-Haunting We Will Go,A-Haunting We Will Go,0,1942,1942,67,"Adventure,Comedy",6.2,1291.0
33818,tt0034428,Across the Pacific,Across the Pacific,0,1942,1942,97,"Action,Adventure,Drama",6.8,5142.0
33839,tt0034449,All Through the Night,All Through the Night,0,1942,1942,107,"Action,Comedy,Crime",7.1,4594.0
33851,tt0034461,Aniki Bóbó,Aniki Bóbó,0,1942,1942,71,"Drama,Family",7.6,1795.0
33855,tt0034465,Arabian Nights,Arabian Nights,0,1942,1942,86,"Action,Adventure,Comedy",6.1,1551.0
33868,tt0034478,The Murderer Lives at Number 21,L'assassin habite... au 21,0,1942,1942,84,"Comedy,Crime,Mystery",7.3,3346.0
33875,tt0034485,Babes on Broadway,Babes on Broadway,0,1941,1941,118,"Comedy,Family,Musical",6.6,1601.0
33882,tt0034492,Bambi,Bambi,0,1942,1942,69,"Adventure,Animation,Drama",7.3,146571.0
33883,tt0034493,The Children Are Watching Us,I bambini ci guardano,0,1943,1943,84,Drama,7.7,2879.0
33903,tt0034513,The Big Shot,The Big Shot,0,1942,1942,82,"Crime,Drama,Film-Noir",6.7,1143.0
33904,tt0034514,The Big Street,The Big Street,0,1942,1942,88,"Drama,Music,Romance",6.4,1604.0
33911,tt0034521,Black Dragons,Black Dragons,0,1942,1942,64,"Thriller,War",4.2,1194.0
33912,tt0034522,The Black Swan,The Black Swan,0,1942,1942,87,"Adventure,Drama",6.7,4777.0
33929,tt0034540,The Boogie Man Will Get You,The Boogie Man Will Get You,0,1942,1942,66,"Comedy,Horror",5.8,1132.0
33935,tt0034546,Bowery at Midnight,Bowery at Midnight,0,1942,1942,61,"Crime,Thriller",5.3,1176.0
33966,tt0034578,Captains of the Clouds,Captains of the Clouds,0,1942,1942,114,"Action,Drama,War",6.4,1629.0
33971,tt0034583,Casablanca,Casablanca,0,1942,1942,102,"Drama,Romance,War",8.5,579088.0
33974,tt0034586,Castle in the Desert,Castle in the Desert,0,1942,1942,62,Mystery,7.0,1384.0
33975,tt0034587,Cat People,Cat People,0,1942,1942,73,"Fantasy,Horror,Thriller",7.2,24074.0
33979,tt0034591,There Was a Father,Chichi ariki,0,1942,1942,94,Drama,7.6,2918.0
34000,tt0034613,The Corpse Vanishes,The Corpse Vanishes,0,1942,1942,64,"Horror,Sci-Fi",4.5,3302.0
34009,tt0034622,Crossroads,Crossroads,0,1942,1942,83,"Crime,Drama,Film-Noir",6.7,1572.0
34033,tt0034646,Desperate Journey,Desperate Journey,0,1942,1942,107,"Drama,War",6.8,2396.0
34081,tt0034694,Edge of Darkness,Edge of Darkness,0,1943,1943,119,"Drama,War",7.2,2705.0
34097,tt0034711,Eyes in the Night,Eyes in the Night,0,1942,1942,80,"Crime,Mystery",6.7,1715.0
34102,tt0034716,The Falcon Takes Over,The Falcon Takes Over,0,1942,1942,65,"Comedy,Crime,Mystery",6.4,1104.0
34118,tt0034732,Fingers at the Window,Fingers at the Window,0,1942,1942,80,"Crime,Drama,Film-Noir",6.3,1084.0
34120,tt0034734,Spitfire,The First of the Few,0,1942,1942,118,"Adventure,Biography,Drama",7.0,1937.0
34128,tt0034742,Flying Tigers,Flying Tigers,0,1942,1942,102,"Action,Drama,Romance",6.7,4054.0
34132,tt0034746,For Me and My Gal,For Me and My Gal,0,1942,1942,104,"Musical,Romance,War",7.0,3670.0
34164,tt0034778,Gentleman Jim,Gentleman Jim,0,1942,1942,104,"Drama,Music,Romance",7.6,3849.0
34166,tt0034780,George Washington Slept Here,George Washington Slept Here,0,1942,1942,93,Comedy,6.9,1772.0
34172,tt0034786,The Ghost of Frankenstein,The Ghost of Frankenstein,0,1942,1942,67,"Drama,Horror,Sci-Fi",6.1,6620.0
